start,end,text
304.44,308.12,"긴 유니시 더 높은 점수를 받게 됩니다."
308.12,310.92,"이제 그 다음으로 라운드 투에서는"
310.92,314.44,"양쪽보 모두 새 유니스의 사용을 하는데"
314.44,319.96,"양쪽 승률이 나 50%의 극정지를 확인을 합니다."
319.96,323.80,"이 소식을 통해서 결과적으로 점수가 양쪽 승률이"
323.80,326.44,"10%일 때 1일이고"
326.44,330.28,"승리를 한쪽으로 7일 쟤수록 점수가 용의 가까워지게 됩니다."
330.28,334.04,"최종적으로 라운드 원이랑 라운드 투의 점수를 합성해서"
334.04,336.04,"유니스를 평가를 하게 되고"
336.04,339.32,"유용한 성이 높고 밸런스가 잘 받는 유니시"
339.32,344.17,"이쁜 점수를 받게 됩니다."
344.17,347.69,"두 농문에서 나타나는 한 개점은 다음과 같습니다."
347.69,350.89,"먼저 승리를 중심으로 연구를 진행을 했기 때문에"
350.89,354.57,"전략 방향 후성에 대한 평가가 어렵다는 문제가 있습니다."
354.57,358.81,"그리고 밸런식을 이제 첫번째 공문 같은 경우는"
358.81,362.33,"밸런식을 할 때 소품 각수를 갖추는 번식으로 했는데"
362.33,365.13,"이거를 반복하다보면 모든 요소의 소성이"
365.13,367.85,"황평준화된 문재가 생일 수 있습니다."
367.85,370.97,"또 플레이언은 실수를 하기도 하지만"
370.97,374.65,"이 전투는 항상 최적화된 행동을 하다보니까"
374.65,377.53,"실제 플레이어서 어떻게 작용할지"
377.53,380.33,"저게 알 수기가 어렵다는 한 개가 있습니다."
380.33,384.10,"이걸 해결하기 위해서 전략 평가 요소에"
384.10,387.46,"추하고 밸런식을 이제 속성을 가출이 보다는"
387.46,390.10,"대조정하는 방식을 사용하고"
390.10,392.18,"또 조정란이돌을 고려해서"
392.18,395.94,"대전투가 최적화된지 아는 행동도 할 수 있도록 해서"
395.94,398.58,"실제 플레이언에 적용시킬 수 있는 베런식을 하고"
398.58,399.38,"납니다."
399.38,403.00,"실을 했습니다."
403.00,415.24,"이전 행이시죠?"
415.24,417.70,"원텔카르르 다음 순하다가"
417.70,421.11,"주추면 공격적으로 배우게 되기 할 텐데"
421.11,422.31,"공무요 보니까 어땠어요."
422.31,425.64,"핀성은 좀 느꼈어요."
425.64,430.28,"아무래도 이제 브락실한 속성을 가진"
430.28,434.15,"고세선은 소맘은 데이터를 부탁하고"
434.15,437.59,"큰 사회는 사실 그 결과가"
437.59,442.55,"확실히 다른 강식들보다는 필요하나는 것 같습니다."
442.55,445.99,"그리고 지금 보니까 승률 중심의 연구"
445.99,450.15,"하얀편주평주나 그리고 최적화된 행동에 대해서"
450.15,452.39,"그 정하는 방식에 있어서"
452.39,454.79,"여러분들이 기존여 후에 한 개점을 느꼈고"
454.79,457.19,"그리고 그것에 대해서 개선 아이디어가"
457.19,459.67,"저녁도 평가에 들어가도 수정한다는"
459.67,461.27,"속성을 제조정한다."
461.27,464.07,"그리고 조정란이돌을 고려 행동하게 한다"
464.07,466.23,"등의 아이디어를 제시하기 했는데"
466.23,468.51,"지금은 아이디어가 굉장히 추상적인다는 건"
468.51,469.51,"아이디어집니다."
469.51,471.83,"이거 어떻게 군체와 하는 곳이"
471.83,473.73,"여러분들한테 주어질 수 있는 것"
473.73,476.11,"그러면 저 세계방점에서"
476.11,477.47,"아이디어를 구체와 할 수 있으면"
477.47,479.23,"생각보다 제시하지 않아도 돼요."
479.23,481.01,"세계� 중에 하나에 대해서"
481.01,482.87,"여러분들이 좀 새로운 방법"
482.87,484.19,"여러분 많이 아이디어를 제시"
484.19,486.72,"충분히 괜찮은 건 것 같을 수 있어요."
486.72,490.96,"그리고 지금 밸런스에 관심이 많은 것 같은데"
490.96,493.60,"첫번째 연구를 한번 가봅시다."
493.60,497.12,"어쨌든 여러분들이 직접 개발했던"
497.12,498.48,"게임 한 명에 대해서"
498.48,500.48,"문대카로심을 의션들 적용해서"
500.48,503.04,"밸런스를 해결합니다."
503.04,506.08,"라는 관점에서 문저를 그져를 구체와 되어 있고"
506.08,507.68,"직접 개발한 환경에서"
507.68,509.52,"시대할 권위가 어떤 문저를 인지도"
509.52,511.84,"가장 잘 파악하고 있을 거라고 생각합니다."
511.84,514.16,"다음 페이지는 것 같아요."
514.16,516.32,"다음 페이지."
516.32,520.08,"여기서 저 왼쪽 상단이 있는 표가"
520.08,520.88,"들리는 거예요."
520.88,522.28,"저 영천히 영천히 영천히 영천히"
522.28,523.76,"영천히 영천히 영구"
523.76,527.00,"휴먼 다의 에너지가 어떤 느낌?"
527.00,530.16,"이제 이 첫번째 사진에서"
530.16,534.28,"이 탐의 파우디패스 게임는"
534.28,536.60,"멀티플레이로 악고기 위해서"
536.60,539.90,"서로 각자의 맵을 가지고"
539.90,541.82,"상대방에는 유니스보내고"
541.82,545.38,"자신 진영에는 탐을"
545.38,547.06,"설치해서 상대학하는 유니스를"
547.06,550.72,"막는 그런 게임을 만든 겁니다."
550.72,553.92,"이제 휴먼과 에너지 팀으로"
553.92,557.79,"나눠서 계속 게임 진행을 해보니까"
557.79,562.08,"제일 영향도가 높은 수치인"
562.08,565.30,"탐화가 제일 많이 탠냉이라는"
565.30,568.58,"이게 하나 수치하고 있는 탐화입니다."
568.58,572.53,"이 수치를 수치의"
572.53,574.85,"속성을 다 품행해 영조를"
574.85,576.85,"영조만큼 사야 된 사인다."
576.85,579.49,"수치를 탐화할 때"
579.49,581.49,"이 수치의 엔뜨릴 때는"
581.49,584.05,"애연이 50일 프로전도 이기는"
584.05,585.97,"선을 보였었는데 수치를"
585.97,587.41,"공격력 같은 그런 수치를"
587.41,589.23,"존동납하십니까?"
589.23,591.47,"승률 종류가 그사하는 것 같습니다."
591.47,592.83,"그리고 아마 저 수치에는"
592.83,594.35,"여러 번 반복해서"
594.35,595.63,"산출 안 통계적인"
595.63,597.63,"평균 값이나 탐의 꿀패스였죠."
597.63,598.51,"좋아요 아마"
598.51,600.11,"내가 시간 진짜 모두바이빛을 하고"
600.11,601.15,"제야를 덮기 때문에"
601.15,602.27,"본인이 정확하게 이해하고"
602.27,603.23,"있음에도 두가하고"
603.23,604.99,"설명이 생겼된 것 같은데"
604.99,606.43,"이만의 프로젝트 때는"
606.43,607.79,"그러나도 문제 상황은"
607.79,608.75,"어떤 것인지 저보다"
608.75,609.95,"여러분들이 개발한 게임에"
609.95,611.55,"그래서 다른 학생들이"
611.55,613.31,"동요들이 이해하고 있어야"
613.31,615.15,"외모티카로와 필요한구나"
615.15,617.39,"뒤로 통해서 개성이 될 거다"
617.39,619.15,"를 판단할 수 있을 것 같아요."
619.15,621.95,"그러면 여기서 못뜻카로는"
621.95,623.23,"그 여러 가지"
623.23,624.19,"황률 값에"
624.19,625.39,"파랗기 탐값에 다른"
625.39,626.99,"상황을 만들어내기 위해서"
626.99,629.39,"상황을 사용이 된 거지"
629.39,633.07,"밸런식에 바로 직접 처벌을 가져된 것 같은데요."
633.07,633.71,"네."
633.71,635.50,"그"
635.50,637.54,"서웅을"
637.54,638.66,"도출해 내기 위해서"
638.66,640.18,"원석할 수 있다."
640.18,642.18,"저도 도출하는 게 있습니까?"
642.18,644.82,"여러 가지 황률 값을 주의했다는"
644.82,647.62,"상황을 생첨한 이 위에 사용이 된 것 같아요."
647.62,649.30,"두 번째 언급한 건 가올시다."
649.30,652.27,"먼저 드릴 수 있습니다."
652.27,655.28,"다음 베이지만"
655.28,656.56,"저 두 번째 수식 부탁드려요."
656.56,658.75,"대충 설명해 줄 수 있어요."
658.75,659.71,"네."
659.71,661.81,"이제 미소작진 경전에는"
661.81,663.41,"스포"
663.41,663.81,"그"
663.81,664.69,"스위"
664.69,665.87,"아마 회는 머리를"
665.87,666.69,"이 스위를"
666.69,667.37,"그 스위를"
667.37,668.53,"오픈을 하면"
668.53,669.89,"이 스위를 위해서"
669.89,670.93,"제 그 머리를"
670.93,671.85,"회는"
671.85,672.63,"오픈을"
672.63,672.97,"그"
672.97,673.83,"평가"
673.83,674.99,"파"
674.99,676.21,"윈이시"
676.21,676.45,"그"
676.45,676.73,"게임에"
676.73,676.93,"헛"
676.93,677.87,"생존이"
677.87,678.33,"시간"
678.33,679.01,"그"
679.01,679.53,"헛"
679.53,679.79,"진짜"
679.79,680.11,"게임"
680.11,681.29,"시간이어서"
681.29,681.85,"게임"
681.85,682.51,"지는 게"
682.51,682.87,"좀"
682.87,683.79,"원래 생존을"
683.79,684.65,"있는 가별"
684.65,685.85,"하는"
685.85,686.65,"그리고"
686.65,686.69,"그"
686.69,687.25,"마트"
687.25,688.01,"영워네"
688.01,689.07,"이제"
689.07,689.49,"게임"
689.49,690.19,"지금"
690.19,690.73,"퀬스"
690.73,690.79,"을"
690.79,691.65,"다에서"
691.65,692.47,"이제"
692.47,693.19,"토마토"
693.19,693.29,"이제"
693.29,694.49,"툭이"
694.49,699.06,"저녁에 빼나 기다렸고 생공시간이 긴 긴 걸"
699.06,703.18,"이 뮤직빈 포핀 전설을 바를 수 있게 하는 그런 소식이고"
703.18,707.21,"이제 국롱대소식 같은 경우에는"
707.21,717.35,"굉장히 이만한 앵크, 태어머니, 승리한 패스소프를 받아냈다고"
717.35,724.36,"제가 원래 있는 게 플레이어 원, 이 뮤직빈을 신선한 게임소와"
724.36,727.86,"플레이어 초밥 앵을 그 게임에서 뮤직빈을 신선한"
727.86,731.46,"유니스 세상에 게임소를 핫한건데"
731.46,736.69,"이렇게 해서 스물들 덜서"
736.69,737.99,"이제 이런건데"
737.99,741.82,"빼먹을 때까지 오셔서"
741.82,746.19,"이제 스물리 20% 세트에 가까운 면은"
746.19,747.69,"뒤 가만히 되고"
747.69,750.01,"이제 이렇게 두 번"
750.01,753.46,"사이크를 수고 그 면을 가까워지게 되는거죠"
753.46,756.26,"아마 게임에 승리업을 따라서"
756.26,757.24,"각각에 대해서"
757.24,759.86,"유니스 생선할 행성할 지 생성하지 않을지"
759.86,761.96,"이해하지 않았을 수가 결정이 되기 때문에"
762.16,765.26,"그래서 적합시 한 50% 정도가 되면"
765.26,768.86,"저 절대 안에 있는 수치가"
768.86,770.16,"명점을 많이 할 수 없죠"
770.16,771.26,"그러니까 재료반에 있는 것이고"
771.26,773.16,"그리고 전체값이 1일이 되니까"
773.16,775.16,"승률이 거의 10초 50% 주문하냐고"
775.16,776.36,"판단하냐고"
776.36,778.96,"좋아 나는 수식을 넣고 설명하는 건"
778.96,779.96,"환영인데"
779.96,781.46,"내가 수식을 넣었으면"
781.46,784.66,"그 수식을 구성하고 있는 각각의 변수들은"
784.66,786.46,"청중들로 하려면 이해하기 높게"
786.46,788.26,"그 점이 따로 표시를 한다든지"
788.26,790.36,"그 의미를 조금 더 이해하기 쉽게"
790.36,792.56,"해상도에 있던 데서 필요할 것 같아"
792.56,793.86,"아, 수식을 너무 좋아해"
793.86,796.36,"그 여러분들이 어떤 수식을 어떤 변수들을"
796.36,796.76,"뭔데까요?"
796.76,797.76,"그 신문에이션을 포기해서"
797.76,799.06,"도저가 할 수 있는지"
799.06,802.62,"계산을 수 있는지 이해하는 것도 중요하기 때문에"
802.62,803.62,"좋습니다"
803.62,805.12,"질문 닿고 마무리해 주세요"
805.12,806.62,"아마 게임에 공격에 대해서"
806.62,808.42,"너무 다들 나조사 이해가 안 되고"
808.42,809.72,"질문을 있을 것 같은데"
809.72,812.68,"잘 못 계시는 한 번 받아보세요"
812.68,818.15,"취향받겠습니다"
818.15,819.75,"없으시면"
819.75,821.45,"홈틴틴틴틴틴"
821.45,822.55,"조금만 없으세요"
823.35,825.92,"아, 만들었던 게임"
825.92,827.92,"이 게임은"
828.87,832.79,"다른 학교에 있는 친구랑 같이 만드는 게임입니다"
832.79,834.69,"플레이어"
834.69,837.59,"플레이어는 서로 이제 각자의 진영에서"
837.59,839.29,"유일일을 뽑아서"
839.29,841.79,"아래에 잘 안 보이는데"
841.79,844.19,"아래에 진영이 진영이 있습니다"
844.19,845.39,"그 진영을"
845.39,848.39,"더 넓히는 목적으로"
848.39,849.69,"서로 굉장히 하는 게임입니다"
849.69,850.92,"그래서"
850.92,852.52,"최종적으로 누가 더 많이"
852.52,854.22,"제한 시간에 누가 또 많이 땅이"
854.22,861.88,"넓은 그냥 따라 심폐일을 결정하는 게임입니다"
861.88,862.48,"없으시면"
862.48,863.88,"이만 맞추러 가겠습니다"
863.88,864.88,"감사합니다"
